Lat,Lon
46.8816002,-96.8122425
46.8410019,-96.8033726
46.8378621,-96.8672017
46.8693145,-96.791712
46.891133,-96.801235
46.8136852,-96.8191019
46.8712362,-96.8316913
46.808488,-96.83619
46.8805202,-96.7955144
46.9227503,-96.7972201
46.8928518,-96.7980859
46.8239734,-96.8009913
46.8191815,-96.8792664
46.8755507,-96.7861876
46.8508952,-96.8618364
46.8520585,-96.8440736
46.8794727,-96.8114738
